Date,Ball1,Ball2,Ball3,Ball4,Ball5,Star1,Star2
1455840000,13,14,30,32,39,3,9
1455580800,3,10,22,37,50,6,10
1455235200,3,20,28,31,49,2,5
1454976000,6,9,13,28,37,4,5
1454630400,3,27,32,41,46,4,8
1454371200,6,9,10,21,36,2,6
1454025600,1,5,23,29,32,1,7
1453766400,15,24,38,40,48,2,9
1453420800,10,12,27,30,47,8,9
1453161600,2,30,38,43,46,2,7
1452816000,10,19,38,43,46,1,11
1452556800,1,2,10,30,44,1,8
1452211200,5,26,33,35,40,3,8
1451952000,6,10,31,36,39,6,10
1451606400,4,37,38,39,44,4,7
1451347200,5,20,31,32,36,6,7
1451001600,3,10,25,27,40,3,9
1450742400,18,19,20,40,41,7,10
1450396800,6,22,26,29,48,5,6
1450137600,8,11,23,27,35,4,11
1449792000,3,5,21,40,43,6,11
1449532800,12,17,29,38,48,9,11
1449187200,8,17,18,27,39,1,7
1448928000,2,15,25,35,45,8,10
1448582400,16,29,30,37,50,6,8
1448323200,9,14,16,17,26,10,11
1447977600,4,30,34,46,49,7,8
1447718400,6,7,23,37,38,10,11
1447372800,10,17,18,33,40,2,8
1447113600,6,13,18,39,43,2,8
1446768000,3,17,26,38,40,4,10
1446508800,8,27,39,46,49,2,6
1446163200,8,13,17,21,34,6,7
1445904000,11,12,20,25,36,6,9
1445554800,7,25,30,32,39,2,8
1445295600,17,19,21,30,45,8,10
1444950000,7,28,29,43,48,3,10
1444690800,12,15,26,29,47,3,11
1444345200,1,40,42,43,47,9,11
1444086000,11,20,22,29,32,1,8
1443740400,7,18,21,32,35,2,11
1443481200,11,14,26,29,49,3,9
1443135600,13,14,23,30,37,2,8
1442876400,14,23,26,27,29,7,10
1442530800,7,29,33,34,39,7,8
1442271600,8,15,17,44,49,5,8
1441926000,10,18,19,29,50,1,9
1441666800,14,16,39,40,42,1,4
1441321200,8,9,27,45,50,8,10
1441062000,6,19,21,27,45,1,8
1440716400,11,29,30,31,34,4,7
1440457200,27,31,33,42,50,2,5
1440111600,4,16,18,43,47,6,10
1439852400,7,10,11,12,19,2,9
1439506800,4,7,39,44,45,3,5
1439247600,2,3,8,15,16,4,11
1438902000,1,5,21,39,44,4,11
1438642800,10,15,39,45,50,9,10
1438297200,16,21,34,40,50,6,9
1438038000,23,32,36,43,49,7,8
1437692400,2,9,21,35,46,2,11
1437433200,14,20,27,29,44,7,10
1437087600,1,21,22,43,48,7,9
1436828400,6,18,19,34,36,1,8
1436482800,5,8,15,35,41,4,5
1436223600,6,7,18,33,41,3,10
1435878000,11,12,15,18,44,3,9
1435618800,11,15,28,34,37,1,8
1435273200,3,6,10,19,24,5,7
1435014000,4,16,22,38,49,6,9
1434668400,7,14,20,31,42,3,9
1434409200,10,15,16,36,37,3,9
1434063600,5,8,10,11,37,7,9
1433804400,5,9,17,32,34,6,8
1433458800,2,7,8,45,48,1,9
1433199600,7,23,29,37,41,1,8
1432854000,3,4,20,45,48,6,8
1432594800,5,6,7,21,24,5,6
1432249200,18,24,35,44,45,5,11
1431990000,26,30,31,35,37,8,11
1431644400,5,35,42,44,47,8,9
1431385200,14,29,30,40,46,3,6
1431039600,7,14,19,47,49,3,10
1430780400,1,10,17,20,42,8,9
1430434800,3,19,20,25,26,6,10
1430175600,24,26,28,36,45,7,10
1429830000,5,19,29,31,40,3,10
1429570800,6,14,17,42,45,1,8
1429225200,2,24,30,34,39,8,11
1428966000,24,32,34,35,49,1,2
1428620400,22,23,25,30,43,5,9
1428361200,18,25,39,44,50,5,8
1428015600,27,29,37,39,49,2,4
1427756400,8,20,24,28,49,8,9
1427414400,2,30,32,39,44,6,10
1427155200,10,24,26,39,40,3,10
1426809600,3,14,37,42,48,1,10
1426550400,11,23,26,38,44,1,8
1426204800,4,5,18,22,23,1,3
1425945600,2,6,23,30,31,2,10
1425600000,23,30,47,49,50,2,7
1425340800,6,8,11,13,21,7,8
1424995200,5,14,17,25,47,9,10
